Key,English,Sinhala (draft),Correction,Notes
profile.qualificationPlaceholder,"e.g. A/L, Diploma, Degree","උදා: උ/පෙළ, ඩිප්ලෝමා, උපාධිය",,
profile.industryPlaceholder,Select an industry,කර්මාන්තයක් තෝරන්න,,
profile.professionPlaceholder,Select a profession,වෘත්තියක් තෝරන්න,,
profile.professionNeedsIndustry,Choose an industry first,පළමුව කර්මාන්තයක් තෝරන්න,,
profile.sectionPhoto,Photo,ඡායාරූපය,,
profile.sectionIdentity,About you,ඔබ ගැන,,
profile.sectionContact,Contact details,සම්බන්ධ වීමේ විස්තර,,
profile.sectionCareer,Academic & career,අධ්‍යාපනය සහ වෘත්තිය,,
profile.changePhotoAction,Change photo,ඡායාරූපය වෙනස් කරන්න,,
profile.takePhoto,Take a photo,ඡායාරූපයක් ගන්න,,
profile.choosePhoto,Choose from library,ගැලරියෙන් තෝරන්න,,
profile.removePhotoConfirm,Remove your profile photo?,ඔබේ පැතිකඩ ඡායාරූපය ඉවත් කරනවාද?,,
profile.photoUpdated,Photo updated,ඡායාරූපය යාවත්කාලීන කළා,,
profile.photoRemoved,Photo removed,ඡායාරූපය ඉවත් කළා,,
profile.photoPermission,Plan B needs permission to use your camera or photos to set a profile picture.,පැතිකඩ ඡායාරූපයක් යෙදීමට ඔබේ කැමරාව හෝ ඡායාරූප භාවිත කිරීමට Plan B හට අවසර අවශ්‍යයි.,,
profile.photoUnavailable,Photo changes need the latest version of the app. Everything else on this page saves normally.,ඡායාරූපය වෙනස් කිරීමට යෙදුමේ නවතම අනුවාදය අවශ්‍යයි. මෙම පිටුවේ අනෙක් සියල්ල සාමාන්‍ය ලෙස සුරැකේ.,,
profile.phoneLocked,To change your phone number we need to text a code to the new one. That is coming soon — contact Plan B support meanwhile.,දුරකථන අංකය වෙනස් කිරීමට නව අංකයට කේතයක් යැවිය යුතුයි. එය ඉක්මනින් එයි — එතෙක් Plan B සහාය අංශය අමතන්න.,,
profile.nameNotice,Use the name exactly as it appears on your passport — Plan B uses it for your visa paperwork.,ගමන් බලපත්‍රයේ ඇති ආකාරයටම නම යොදන්න — වීසා ලියකියවිලි සඳහා Plan B එය භාවිත කරයි.,,
profile.unsavedTitle,Discard your changes?,ඔබේ වෙනස්කම් ඉවත දමනවාද?,,
profile.unsavedBody,You have edits that haven’t been saved.,සුරකින්නේ නැති වෙනස්කම් තිබේ.,,
profile.discard,Discard,ඉවත දමන්න,,
profile.keepEditing,Keep editing,සංස්කරණය දිගටම,,
profile.bio,About you,ඔබ ගැන,,
profile.bioPlaceholder,A few lines about your experience and what you are looking for,ඔබේ අත්දැකීම් සහ ඔබ සොයන දේ ගැන පේළි කිහිපයක්,,
profile.bioHint,Shown on your profile. Up to 500 characters.,ඔබේ පැතිකඩේ පෙන්වයි. අකුරු 500ක් දක්වා.,,
profile.addBio,Add a short bio,කෙටි හැඳින්වීමක් එක් කරන්න,,
profile.verified,Verified,තහවුරු කළා,,
profile.statServices,Services bought,මිලදී ගත් සේවා,,
profile.statLessons,Lessons watched,නැරඹූ පාඩම්,,
profile.statChecklist,Checklist done,අවසන් පිරික්සුම්,,
enrol.action,Enrol,ලියාපදිංචි වන්න,,
enrol.actionFree,Start for free,නොමිලේ අරඹන්න,,
enrol.paywallBody,One payment. Lifetime access to every lesson and the assessment.,එක් ගෙවීමක්. සෑම පාඩමකටම සහ තක්සේරුවට ජීවිත කාලයටම ප්‍රවේශය.,,
enrol.comingSoonBody,Paid courses open for enrolment soon. Please check back later.,ගෙවුම් පාඨමාලා සඳහා ලියාපදිංචිය ඉක්මනින් විවෘත වේ. පසුව නැවත බලන්න.,,
enrol.lockedLesson,Enrol to unlock this lesson.,මෙම පාඩම විවෘත කිරීමට ලියාපදිංචි වන්න.,,
enrol.done,You're enrolled. Enjoy the course.,ඔබ ලියාපදිංචියි. පාඨමාලාව රසවිඳින්න.,,
enrol.failed,We couldn't start your enrolment. Please try again.,ඔබේ ලියාපදිංචිය ආරම්භ කළ නොහැකි විය. නැවත උත්සාහ කරන්න.,,
enrol.actionPriced,Enrol now · {{price}},දැන් ලියාපදිංචි වන්න · {{price}},,
enrol.comingSoonPriced,Coming soon · {{price}},ඉක්මනින් · {{price}},,
payment.title,Checkout,ගෙවීම,,
payment.historyTitle,Payments,ගෙවීම්,,
payment.historyLink,Payments,ගෙවීම්,,
payment.orderNumber,Order,ඇණවුම,,
payment.amount,Amount,මුදල,,
payment.total,Total,එකතුව,,
payment.methodQuestion,How would you like to pay?,ඔබට ගෙවීමට කැමති කුමන ක්‍රමයද?,,
payment.methodCard,Card,කාඩ්පත,,
payment.methodCardSoon,Card (Soon),කාඩ්පත (ඉක්මනින්),,
payment.methodBank,Bank transfer,බැංකු හුවමාරුව,,
payment.cardBody,You'll finish paying on our payment partner's secure page. Plan B never sees your card details.,ගෙවීම අපගේ ගෙවුම් හවුල්කරුගේ ආරක්ෂිත පිටුවේ අවසන් කරයි. ඔබේ කාඩ්පත් විස්තර Plan B කිසිවිටෙක නොදකී.,,
payment.cardAction,Pay {{amount}},{{amount}} ගෙවන්න,,
payment.cardOpenFailed,We couldn't open the payment page. Please try again.,ගෙවුම් පිටුව විවෘත කළ නොහැකි විය. නැවත උත්සාහ කරන්න.,,
payment.cardUnavailable,"Card payment needs the latest version of the app. Please update, or pay by bank transfer.","කාඩ්පත් ගෙවීමට යෙදුමේ නවතම අනුවාදය අවශ්‍යයි. යාවත්කාලීන කරන්න, නැතහොත් බැංකු හුවමාරුවෙන් ගෙවන්න.",,
payment.confirmingTitle,Confirming your payment,ඔබේ ගෙවීම තහවුරු කරමින්,,
payment.confirmingBody,This usually takes a few seconds. Please don't close the app.,මෙයට සාමාන්‍යයෙන් තත්පර කිහිපයක් ගතවේ. යෙදුම වසා නොදමන්න.,,
payment.notConfirmedTitle,Not confirmed yet,තවම තහවුරු වී නැත,,
payment.notConfirmedBody,We haven't had confirmation from your bank yet. If the money has left your account your access will open shortly — you can check back under Payments.,ඔබේ බැංකුවෙන් තවම තහවුරු කිරීමක් ලැබී නැත. මුදල ඔබේ ගිණුමෙන් ගොස් ඇත්නම් ප්‍රවේශය ඉක්මනින් විවෘත වේ — ගෙවීම් යටතේ නැවත බලන්න.,,
payment.paidTitle,Payment received,ගෙවීම ලැබුණා,,
payment.paidBody,Your course is unlocked.,ඔබේ පාඨමාලාව විවෘත වී ඇත.,,
payment.startLearning,Start learning,ඉගෙනීම අරඹන්න,,
payment.proofTitle,Confirm your transfer,ඔබේ හුවමාරුව තහවුරු කරන්න,,
payment.bankNoticeTitle,Where to send your payment,ගෙවීම යවන්නේ කොහෙටද,,
payment.bankBody,"Transfer the exact amount to the account below, then send us the slip. Plan B confirms transfers within one working day.","පහත ගිණුමට හරියටම එම මුදල යවා, පසුව පත්‍රිකාව අපට එවන්න. Plan B වැඩ කරන දිනක් තුළ හුවමාරු තහවුරු කරයි.",,
payment.bankName,Bank,බැංකුව,,
payment.accountName,Account name,ගිණුමේ නම,,
payment.accountNumber,Account number,ගිණුම් අංකය,,
payment.branch,Branch,ශාඛාව,,
payment.bankUnavailable,Bank transfer isn't available right now. Please pay by card.,බැංකු හුවමාරුව දැනට ලබා ගත නොහැක. කාඩ්පතෙන් ගෙවන්න.,,
payment.reference,Reference number,යොමු අංකය,,
payment.referencePlaceholder,e.g. 00887421,උදා: 00887421,,
payment.referenceRequired,Enter the reference number from your bank.,ඔබේ බැංකුවේ යොමු අංකය ඇතුළත් කරන්න.,,
payment.slip,Transfer slip,හුවමාරු පත්‍රිකාව,,
payment.slipHint,"JPG, PNG or PDF, up to {{mb}} MB","JPG, PNG හෝ PDF, MB {{mb}} දක්වා",,
payment.slipTypes,"Attach a JPG, PNG or PDF of your slip.","ඔබේ පත්‍රිකාවේ JPG, PNG හෝ PDF එකක් අමුණන්න.",,
payment.slipChoosePdf,Choose a PDF,PDF එකක් තෝරන්න,,
payment.slipWrongType,"That file type isn't accepted. Attach a JPG, PNG or PDF.","එම ගොනු වර්ගය පිළිගන්නේ නැත. JPG, PNG හෝ PDF එකක් අමුණන්න.",,
payment.slipTooLarge,That file is too large. Attach one under {{mb}} MB.,එම ගොනුව ඉතා විශාලයි. MB {{mb}}ට අඩු එකක් අමුණන්න.,,
payment.slipPdfUnavailable,"Attaching a PDF needs the latest version of the app. Please update, or attach a photo.","PDF අමුණීමට යෙදුමේ නවතම අනුවාදය අවශ්‍යයි. යාවත්කාලීන කරන්න, නැතහොත් ඡායාරූපයක් අමුණන්න.",,
payment.slipAdd,Add a photo,ඡායාරූපයක් එක් කරන්න,,
payment.slipChange,Change photo,ඡායාරූපය වෙනස් කරන්න,,
payment.slipRemove,Remove photo,ඡායාරූපය ඉවත් කරන්න,,
payment.slipAttached,Attached,අමුණා ඇත,,
payment.slipTakePhoto,Take a photo,ඡායාරූපයක් ගන්න,,
payment.slipChoose,Choose from photos,ඡායාරූපවලින් තෝරන්න,,
payment.slipPermission,Plan B needs permission to use your camera or photos to attach your transfer slip.,හුවමාරු පත්‍රිකාව අමුණන්නට ඔබේ කැමරාව හෝ ඡායාරූප භාවිත කිරීමට Plan B හට අවසර අවශ්‍යයි.,,
payment.slipUnavailable,Attaching a slip needs the latest version of the app. Please update to continue.,පත්‍රිකාවක් අමුණීමට යෙදුමේ නවතම අනුවාදය අවශ්‍යයි. ඉදිරියට යාමට යාවත්කාලීන කරන්න.,,
payment.submit,Send for verification,තහවුරු කිරීමට යවන්න,,
payment.submitted,Sent. Plan B will confirm your payment shortly.,යවා ඇත. Plan B ඉක්මනින් ඔබේ ගෙවීම තහවුරු කරයි.,,
payment.submitFailed,We couldn't send your slip. Please try again.,ඔබේ පත්‍රිකාව යැවිය නොහැකි විය. නැවත උත්සාහ කරන්න.,,
payment.checkStatus,Check status,තත්ත්වය බලන්න,,
payment.stillChecking,Still being checked. We'll update this as soon as Plan B confirms it.,තවමත් පරීක්ෂා කරමින්. Plan B තහවුරු කළ විගස මෙය යාවත්කාලීන වේ.,,
payment.checkStatusFailed,We couldn't check right now. Please try again.,දැන් පරීක්ෂා කළ නොහැකි විය. නැවත උත්සාහ කරන්න.,,
payment.awaitingTitle,Waiting for verification,තහවුරු කිරීම බලාපොරොත්තුවෙන්,,
payment.awaitingBody,Plan B has your slip and will confirm it within one working day. Your course unlocks as soon as it's approved.,Plan B ළඟ ඔබේ පත්‍රිකාව ඇති අතර වැඩ කරන දිනක් තුළ එය තහවුරු කරයි. අනුමත වූ විගස පාඨමාලාව විවෘත වේ.,,
payment.rejectedTitle,Your last transfer was not accepted,ඔබේ පෙර හුවමාරුව පිළිගත්තේ නැත,,
payment.rejectedRetry,Send another slip,තවත් පත්‍රිකාවක් යවන්න,,
payment.statusPending,Awaiting payment,ගෙවීම බලාපොරොත්තුවෙන්,,
payment.statusAwaitingVerification,Being checked,පරීක්ෂා කරමින්,,
payment.statusPaid,Paid,ගෙවා ඇත,,
payment.statusCancelled,Cancelled,අවලංගු කළා,,
payment.statusFailed,Failed,අසාර්ථකයි,,
payment.statusRefunded,Refunded,මුදල් ආපසු දුන්නා,,
payment.payNow,Complete payment,ගෙවීම සම්පූර්ණ කරන්න,,
payment.historyEmptyTitle,No payments yet,තවම ගෙවීම් නැත,,
payment.historyEmptyBody,"When you enrol in a paid course, your orders appear here.",ගෙවුම් පාඨමාලාවකට ලියාපදිංචි වූ විට ඔබේ ඇණවුම් මෙහි පෙන්වයි.,,
payment.loadFailedTitle,Couldn't load your payments,ඔබේ ගෙවීම් පූරණය කළ නොහැකි විය,,
payment.loadFailedBody,Check your connection and try again.,ඔබේ සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
payment.paidBodyService,Plan B has your payment and will start work on this.,Plan B ළඟ ඔබේ ගෙවීම ඇති අතර මේ සඳහා වැඩ ආරම්භ කරයි.,,
payment.viewService,View my service,මගේ සේවාව බලන්න,,
services.title,Services,සේවා,,
services.myTitle,My Services,මගේ සේවා,,
services.subtitle,Extra help from Plan B,Plan B වෙතින් අමතර උදව්,,
services.emptyTitle,No services yet,තවම සේවා නැත,,
services.emptyBody,Plan B will list the help they offer here. Check back soon.,Plan B ලබා දෙන උදව් මෙහි පළ කරනු ඇත. ඉක්මනින් නැවත බලන්න.,,
services.noneBoughtTitle,Nothing bought yet,තවම කිසිවක් මිලදී ගෙන නැත,,
services.noneBoughtBody,Buy a service and you can follow its progress here.,සේවාවක් මිලදී ගත් පසු එහි ප්‍රගතිය මෙහි බැලිය හැක.,,
services.browseAll,Browse services,සේවා බලන්න,,
services.browse,Browse,බලන්න,,
services.mySearchLabel,Search my services,මගේ සේවා සොයන්න,,
services.mySearchPlaceholder,Search what you've bought,ඔබ මිලදී ගත් දේ සොයන්න,,
services.noMatchTitle,No services match,ගැළපෙන සේවා නැත,,
services.noMatchBody,"Try a shorter word, or clear the search.","කෙටි වචනයක් උත්සාහ කරන්න, නැතහොත් සෙවුම මකන්න.",,
services.loadFailedTitle,Couldn't load services,සේවා පූරණය කළ නොහැකි විය,,
services.loadFailedBody,Check your connection and try again.,ඔබේ සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
services.deliveryTime,Usually {{time}},සාමාන්‍යයෙන් {{time}},,
services.whatYouGet,What you get,ඔබට ලැබෙන දේ,,
services.noDescription,Plan B will explain the details after you buy.,මිලදී ගැනීමෙන් පසු Plan B විස්තර පැහැදිලි කරයි.,,
services.buyFor,Buy for {{amount}},{{amount}}ට මිලදී ගන්න,,
services.buyFailed,We couldn't start your purchase. Please try again.,ඔබේ මිලදී ගැනීම ආරම්භ කළ නොහැකි විය. නැවත උත්සාහ කරන්න.,,
services.alreadyOpen,You've already bought this. We're working on it.,ඔබ මෙය දැනටමත් මිලදී ගෙන ඇත. අපි ඒ සඳහා වැඩ කරමින් සිටිමු.,,
services.buyAgain,Buy again,නැවත මිලදී ගන්න,,
services.statusPending,Waiting to start,ආරම්භ වීමට බලා සිටී,,
services.statusInProgress,In progress,කරගෙන යයි,,
services.statusCompleted,Completed,අවසන්,,
services.statusCancelled,Cancelled,අවලංගු කළා,,
services.stepPaid,Paid,ගෙවා ඇත,,
services.stepInProgress,In progress,කරගෙන යයි,,
services.stepCompleted,Completed,අවසන්,,
services.stepCancelled,Cancelled,අවලංගු කළා,,
services.stepPending,Not yet,තවම නැත,,
services.progressTitle,Your request,ඔබේ ඉල්ලීම,,
services.cancelledBody,Plan B could not deliver this one. Contact them about a refund.,Plan B හට මෙය ලබා දිය නොහැකි විය. මුදල් ආපසු ගැනීම ගැන ඔවුන් අමතන්න.,,
services.completedBody,This is done. Plan B will have been in touch.,මෙය අවසන්. Plan B ඔබව සම්බන්ධ කරගෙන ඇති.,,
services.waitingBody,Plan B has your payment and will start shortly.,Plan B ළඟ ඔබේ ගෙවීම ඇති අතර ඉක්මනින් ආරම්භ කරයි.,,
services.workingBody,Plan B is working on this now.,Plan B දැන් මේ සඳහා වැඩ කරමින් සිටී.,,
services.detailTitle,Service details,සේවා විස්තර,,
services.howItWorks,How it works,මෙය ක්‍රියා කරන ආකාරය,,
services.howPay,You pay,ඔබ ගෙවනවා,,
services.howWork,We work on it,අපි වැඩ කරනවා,,
services.howDone,Delivered,ලබා දෙනවා,,
services.priceLabel,Price,මිල,,
services.buyNow,Buy now,දැන් මිලදී ගන්න,,
notifications.title,Notifications,දැනුම්දීම්,,
notifications.emptyTitle,No notifications yet,තවම දැනුම්දීම් නැත,,
notifications.emptyBody,"Updates about your courses, payments and services will show up here.","ඔබේ පාඨමාලා, ගෙවීම් සහ සේවා පිළිබඳ යාවත්කාලීන මෙහි පෙන්වයි.",,
currency.title,Exchange Money,මුදල් හුවමාරුව,,
currency.todaysRate,Today's rate,අද අනුපාතය,,
currency.rateLine,1 {{base}} = {{rate}} {{quote}},1 {{base}} = {{rate}} {{quote}},,
currency.openConverter,Open the currency converter,මුදල් පරිවර්තකය විවෘත කරන්න,,
currency.indicative,Indicative rate · {{date}},දළ අනුපාතය · {{date}},,
currency.stale,Indicative rate · last updated {{date}},දළ අනුපාතය · අවසන් යාවත්කාලීනය {{date}},,
currency.disclaimer,"A guide only. Banks and exchange houses set their own rates, so what you actually get will be a little different.",මෙය මාර්ගෝපදේශයක් පමණි. බැංකු සහ මුදල් හුවමාරු ආයතන තම අනුපාත තීරණය කරන නිසා ඔබට ලැබෙන මුදල මීට තරමක් වෙනස් විය හැක.,,
currency.amountIn,Amount in {{currency}},{{currency}} වලින් මුදල,,
currency.amountPlaceholder,Enter an amount,මුදලක් ඇතුළත් කරන්න,,
currency.swap,Swap to convert from {{from}} to {{to}},{{from}} සිට {{to}} වෙත පරිවර්තනය කිරීමට මාරු කරන්න,,
currency.unavailableTitle,Rate unavailable,අනුපාතය ලබා ගත නොහැක,,
currency.unavailableBody,We couldn't get today's rate. Check your connection and try again.,අද අනුපාතය ලබා ගත නොහැකි විය. සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
bundle.title,Category,ප්‍රවර්ගය,,
bundle.loadFailedTitle,Couldn't load this category,මෙම ප්‍රවර්ගය පූරණය කළ නොහැකි විය,,
bundle.badge,Course bundle,පාඨමාලා පැකේජය,,
bundle.coursesCount_one,{{count}} course,පාඨමාලා {{count}},,
bundle.coursesCount_other,{{count}} courses,පාඨමාලා {{count}},,
bundle.benefitAll,One payment for every course in {{name}},{{name}} හි සියලුම පාඨමාලා සඳහා එක් ගෙවීමක්,,
bundle.benefitOwned_one,You already own {{count}} of these — you won't pay for it again,මෙයින් {{count}}ක් දැනටමත් ඔබ සතුය — ඒ සඳහා නැවත ගෙවන්නේ නැත,,
bundle.benefitOwned_other,You already own {{count}} of these — you won't pay for them again,මෙයින් {{count}}ක් දැනටමත් ඔබ සතුය — ඒවා සඳහා නැවත ගෙවන්නේ නැත,,
bundle.benefitForever,Lifetime access. Watch at your own pace.,ජීවිත කාලය පුරා ප්‍රවේශය. ඔබේ වේගයට නරඹන්න.,,
bundle.emptyTitle,No courses here yet,තවම මෙහි පාඨමාලා නැත,,
bundle.emptyBody,Courses added to this category will show up here.,මෙම ප්‍රවර්ගයට එක් කරන පාඨමාලා මෙහි පෙන්වනු ඇත.,,
bundle.buyingAll_one,The {{name}} bundle · {{count}} course,{{name}} පැකේජය · පාඨමාලා {{count}},,
bundle.buyingAll_other,The {{name}} bundle · all {{count}} courses,{{name}} පැකේජය · පාඨමාලා {{count}}ම,,
bundle.ownedSome_one,You own {{owned}} — paying only for the {{count}} course left,{{owned}}ක් ඔබ සතුය — ඉතිරි පාඨමාලා {{count}} සඳහා පමණක් ගෙවන්න,,
bundle.ownedSome_other,You own {{owned}} — paying only for the {{count}} courses left,{{owned}}ක් ඔබ සතුය — ඉතිරි පාඨමාලා {{count}} සඳහා පමණක් ගෙවන්න,,
bundle.buyRemaining_one,Buy {{count}} course · {{price}},පාඨමාලා {{count}} මිලදී ගන්න · {{price}},,
bundle.buyRemaining_other,Buy all {{count}} courses · {{price}},පාඨමාලා {{count}}ම මිලදී ගන්න · {{price}},,
bundle.getFree_one,Get {{count}} free course,නොමිලේ පාඨමාලා {{count}} ලබා ගන්න,,
bundle.getFree_other,Get {{count}} free courses,නොමිලේ පාඨමාලා {{count}} ලබා ගන්න,,
bundle.ownedAll,You own every course in this bundle.,මෙම පැකේජයේ සියලුම පාඨමාලා ඔබ සතුය.,,
bundle.courseCaption,Sold as part of the {{name}} course bundle,{{name}} පාඨමාලා පැකේජයේ කොටසක් ලෙස විකුණනු ලැබේ,,
bundle.viewBundle,View Course Bundle,පාඨමාලා පැකේජය බලන්න,,
bundle.tileLabel,Bundle,පැකේජය,,
bundle.bannerTitle,{{name}} course bundle,{{name}} පාඨමාලා පැකේජය,,
bundle.bannerBody,These courses are sold together. See what's included and your price.,මෙම පාඨමාලා එකට විකුණනු ලැබේ. ඇතුළත් දේ සහ ඔබේ මිල බලන්න.,,
bundle.checkoutCaption_one,Course bundle · {{count}} course,පාඨමාලා පැකේජය · පාඨමාලා {{count}},,
bundle.checkoutCaption_other,Course bundle · {{count}} courses,පාඨමාලා පැකේජය · පාඨමාලා {{count}},,
bundle.paidBody,Every course in the bundle is unlocked. Enjoy!,පැකේජයේ සියලුම පාඨමාලා අගුළු හැර ඇත. සතුටින් ඉගෙන ගන්න!,,
bundle.nothingToPay,You're all set — nothing left to pay for.,සියල්ල සූදානම් — ගෙවීමට කිසිවක් ඉතිරි නැත.,,
bundle.buyFailed,Couldn't start the purchase. Please try again.,මිලදී ගැනීම ආරම්භ කළ නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.,,
bundle.sectionLink,Sold as a bundle,පැකේජයක් ලෙස විකුණනු ලැබේ,,Link on a sub-category heading that is its own bundle
bundle.importantTitle,Good to know,දැනගත යුතු දේ,,Heading of the highlighted points box on a sub-category page
site.nav.home,Home,මුල් පිටුව,,
site.nav.courses,Courses,පාඨමාලා,,
site.nav.about,About Us,අපි ගැන,,
site.nav.successStories,Success stories,සාර්ථක කතා,,
site.nav.testimonials,Our Values,අපගේ වටිනාකම්,,
site.nav.openMenu,Open menu,මෙනුව විවෘත කරන්න,,
site.nav.signIn,Sign in,පිවිසෙන්න,,
site.nav.myLearning,My learning,මගේ ඉගෙනුම,,
site.footer.tagline,We prepare Sri Lankan students for education and employment in the UAE.,එක්සත් අරාබි එමිරේට්ස් හි අධ්‍යාපනය සහ රැකියා සඳහා ශ්‍රී ලාංකික සිසුන් අපි සූදානම් කරමු.,,
site.footer.quickLinks,Quick links,ඉක්මන් සබැඳි,,
site.footer.forStudents,For students,සිසුන් සඳහා,,
site.footer.contact,Contact,සම්බන්ධ වන්න,,
site.footer.getTheApp,Get the app,යෙදුම බාගන්න,,
site.footer.rights,© {{year}} Plan B International. All rights reserved.,© {{year}} Plan B International. සියලු හිමිකම් ඇවිරිණි.,,
site.footer.privacy,Privacy policy,රහස්‍යතා ප්‍රතිපත්තිය,,
site.footer.terms,Terms of service,සේවා කොන්දේසි,,
site.lang.label,Language,භාෂාව,,
site.lang.en,English,English,,
site.lang.si,සිංහල,සිංහල,,
site.portal.title,My learning,මගේ ඉගෙනුම,,
site.portal.backToSite,Back to website,වෙබ් අඩවියට ආපසු,,
site.portal.account,Account,ගිණුම,,
site.story.heading,"Real people, already there",දැනටමත් එහි සිටින සැබෑ අය,,
site.story.videoTitle,{{name}}'s story,{{name}}ගේ කතාව,,
site.story.playVideo,Play video: {{title}},වීඩියෝව වාදනය කරන්න: {{title}},,
site.story.emptyTitle,No stories published yet,තවම කතා පළ කර නැත,,
site.story.emptyBody,We are filming with our first students now. Check back soon.,අපි අපගේ පළමු සිසුන් සමඟ රූගත කරමින් සිටිමු. ඉක්මනින් නැවත බලන්න.,,
site.testimonials.headingLead,Trusted by students,සිසුන්ගේ විශ්වාසය දිනාගත්,,
site.testimonials.headingTail,across Sri Lanka,ශ්‍රී ලංකාව පුරා,,
site.testimonials.body,Hear why students and professionals trust Plan B to guide their move to the Emirates.,එමිරේට්ස් වෙත යාමේදී Plan B විශ්වාස කරන්නේ ඇයිදැයි සිසුන්ගෙන් සහ වෘත්තිකයන්ගෙන් දැනගන්න.,,
site.testimonials.cta,Browse our courses,අපගේ පාඨමාලා බලන්න,,
site.testimonials.cardLabel,Read {{name}}'s testimonial,{{name}}ගේ අදහස කියවන්න,,
site.testimonials.listLabel,Student testimonials,සිසු අදහස්,,
site.community.videoTitle,Inside Plan B International,Plan B International ඇතුළත,,
site.team.heading,The people behind **Plan B**,**Plan B** පිටුපස සිටින අය,,
site.team.body,Consultants and course writers who have taken Sri Lankans through this move themselves.,මෙම ගමන තමන්ම අත්විඳ ඇති උපදේශකයන් සහ පාඨමාලා රචකයන්.,,
site.team.emptyTitle,Team coming soon,කණ්ඩායම ඉක්මනින්,,
site.team.emptyBody,We are putting our profiles together. Check back shortly.,අපි අපගේ තොරතුරු සකස් කරමින් සිටිමු. ටික වේලාවකින් නැවත බලන්න.,,
site.team.pagesLabel,Team pages,කණ්ඩායම් පිටු,,
site.carousel.goToPage,Go to page {{number}},{{number}} වන පිටුවට යන්න,,
site.nav.team,The Team,කණ්ඩායම,,
site.whatsapp.label,Chat on WhatsApp,WhatsApp හරහා කතා කරන්න,,
site.whatsapp.prefill,"Hi Plan B, I would like to know more about studying and working in the UAE.","ආයුබෝවන් Plan B, එක්සත් අරාබි එමිරේට්ස් හි අධ්‍යාපනය සහ රැකියා ගැන දැනගන්න කැමතියි.",,
site.carousel.previous,Previous courses,පෙර පාඨමාලා,,
site.carousel.next,Next courses,ඊළඟ පාඨමාලා,,
site.programmes.heading,Our **Programmes**,අපගේ **පාඨමාලා**,,
site.programmes.body,"Practical courses built for Sri Lankans moving to the Emirates — learn at your own pace, in English or Sinhala.","එමිරේට්ස් වෙත යන ශ්‍රී ලාංකිකයන් සඳහා නිර්මාණය කළ ප්‍රායෝගික පාඨමාලා — ඉංග්‍රීසි හෝ සිංහල භාෂාවෙන්, ඔබේ වේගයෙන් ඉගෙන ගන්න.",,
site.programmes.viewAll,View all courses,සියලු පාඨමාලා බලන්න,,
site.programmes.listLabel,Our programmes,අපගේ පාඨමාලා,,
site.programmes.pagesLabel,Programme pages,පාඨමාලා පිටු,,
site.programmes.emptyTitle,No courses published yet,තවම පාඨමාලා ප්‍රකාශ කර නැත,,
site.programmes.emptyBody,"New programmes are added regularly. Check back soon, or get in touch and we will tell you when one opens.","නව පාඨමාලා නිතර එකතු වේ. නැවත පරීක්ෂා කරන්න, නැතහොත් අප හා සම්බන්ධ වන්න.",,
